id;employer_id;user_id;user_country;client_type;slug;name;description;skill_id;subcategory_id;type;budget;status;el1;created
3155332;8141691;8144397;FR;rebuy;conectar-tienda-shopify-para-dropshipping;Conectar tienda shopify para dropshipping;Hola! Estoy en la etapa final de mi tienda shopify, la cual es de ropa de mujer y accesorios por dropshipping necesito conectar el dominio y hacer muy pequeños cambios visuales;499;307;fixed;entre 0 y 50 usd;open;VERDADEIRO;2025-7-3, 09:27
3155349;6715464;6718183;BR;new;site-em-wordpress-instavel-ficando-fora-do-ar-diversas-vezes-ao-dia;Site em Wordpress instável - ficando fora do ar diversas vezes ao dia;"Tenho um site da empresa construído em Wordpress com Elementor e um subdomínio com uma plataforma de gestão de curso online usando o LearnPress 
Há algumas semanas, o site está caindo com frequência, ficando fora do ar diversas vezes ao dia.
Preciso que analise o problema e faça a resolução para que o site volte a ficar estável.";67;858;fixed;entre 100 y 250 usd;finished;VERDADEIRO;2025-7-3, 09:40
3155371;2019646;2022471;BR;rebuy;site-wordpress-com-login-e-senha-controle-financeiro-para-anuidade-controle-de-acesso-por-regra-de-usuario-geracao-de-pix-ou-car;Site wordpress com login e senha, controle financeiro para anuidade, controle de acesso por regra de usuario, geração de pix ou cartão de credito para pagamento de anuidade;"Site wordpress com login e senha, controle financeiro para anuidade, controle de acesso por regra de usuario, geração de pix ou cartão de credito para pagamento de anuidade, Àrea de cursos (universidade corporativa)

já está hospedado, wordpress inteiro configurado e já com os plugins instalados";67;858;fixed;entre 100 y 250 usd;cancelled;VERDADEIRO;2025-7-3, 10:01
3155383;12201390;12204444;BR;new;sistema-de-download-5;Sistema de download;Preciso que alguém desenvolva algo pra que eu possa baixar aplicativo da playstore(tem que ser dispositivo android) sem limitação e que não fique no mesmo ip;67;497;fixed;entre 250 y 500 usd;open;VERDADEIRO;2025-7-3, 10:08
3155397;12201467;12204521;ES;new;marketing-y-publicidad-16;Marketing y publicidad;Necesito llevarle el marketing y la publicidad a empresas, tanto en facebook ads, como instagram, todo lo posible para poder llevarle el marketing a grandes empresas.;499;307;fixed;entre 0 y 50 usd;open;VERDADEIRO;2025-7-3, 10:20
3155409;9665966;9668657;BR;new;projeto-molde-para-impressao-3d;Projeto Molde para impressão 3d;Preciso desenvolver um molde com o objeto que ja tenho em arquivo STL, pois após isso vou fazer a impressão desse molde e fazer uma laminação em carbono;437;930;fixed;entre 0 y 50 usd;open;VERDADEIRO;2025-7-3, 10:26
3155440;7718374;7721083;BR;rebuy;melhorias-visuais-no-site;Melhorias visuais no site;Tenho um site no woocoomerce mas preciso de algumas melhorias visuais nele, ou seja, que o melhorem esteticamente, bem como melhorem a jornada do consumidor, tanto na pagina inicial como na pagina dos produtos. Preciso de alguém com refinamento estético e não apenas um programador.;67;497;fixed;entre 250 y 500 usd;open;VERDADEIRO;2025-7-3, 10:52
3155446;1290832;1293475;ES;rebuy;seo-para-un-proyecto-web-para-penetrar-en-francia;Seo para un proyecto web para penetrar en Francia;Necesitamos un especialista para posicionar un proyecto web en Francia, donde disponemos de una estrategia a revisar por el especialista y que una vez validada se implante a nivel on page y offpage.;499;307;hourly;entre 15 y 45 usd/hs;open;VERDADEIRO;2025-7-3, 10:56
3155460;11655595;11658461;BR;rebuy;3d-de-escultura-a-partir-de-imagem-em-step;3d de escultura a partir de Imagem em step;Fazer o 3d de uma escultura de madeira, baseada em uma imagem, escultura de 38cm de altura e largura de 30cm. Em arquivo step. (Os cristais da imagem não precisam ser feitos mas um leve rebaixo no local onde eles estão, sim).;545;875;fixed;entre 50 y 100 usd;rating;VERDADEIRO;2025-7-3, 11:07
3155475;12201854;12204908;BR;new;conecta-local;Conecta local;"Estou desenvolvendo uma plataforma estilo Shopee, mas voltada exclusivamente para o comércio local.
A ideia é permitir que pequenos comerciantes criem suas lojas virtuais com sistema de catálogo, estoque, caixa e vendas online ou presenciais.
Haverá planos (Free, Intermediário, Pro), stories das lojas, destaques pagos por créditos, avaliações de produtos e painel do vendedor.
A plataforma também inclui uma área social para divulgação de serviços autônomos (ex: pintores, encanadores) e cadastro de currículos.
O foco é conectar comércio e serviços da cidade ao consumidor local com praticidade, velocidade e usabilidade regional.";67;146;fixed;entre 100 y 250 usd;open;VERDADEIRO;2025-7-3, 11:20
3155493;6997003;6999719;PR;rebuy;profesor-profesora-de-autocad;Profesor/Profesora de Autocad;Necesitamos que el recurso enseñe a utilizar el programa de AutoCad a clientes de Puerto Rico. El personal debe ser ingeniero, arquitecto u delineante. Disponible para realizar el trabajo presencial.;545;875;fixed;entre 250 y 500 usd;cancelled;FALSO;2025-7-3, 11:33
3155495;2535386;2538194;BR;rebuy;desenvolvimento-de-site-972;Desenvolvimento de site;"Desenvolvimento de um novo site para empresa Rock Space, o site precisa conter informações sobre  produtos, fotos e vídeos. Area de suporte com formulários específicos e perguntas frequentes.
Ter as redes sociais integradas.
O Site precisa ser expansível com ajuste automático para smatphone.
Site atual:  https://www.rockspacebrasil.com.br/";437;747;fixed;entre 100 y 250 usd;open;FALSO;2025-7-3, 11:34
3155497;12201942;12204996;AR;new;diseno-de-invitaciones-digitales-en-formato-web-wordpress-elegante-y-moderno;Diseño de invitaciones digitales en formato web – Wordpress elegante y moderno;"Con Amor es un emprendimiento que nace del deseo de transformar una simple invitación en una experiencia emocional y visualmente inolvidable.
Diseño invitaciones digitales en formato de páginas web, desarrolladas con WordPress, pensadas para eventos únicos como casamientos, cumpleaños, aniversarios, baby showers y celebraciones especiales.
Cada invitación está pensada desde el alma: utilizo colores suaves, tipografías elegantes y una navegación clara y cálida para que cada invitado sienta la esencia del evento desde el primer clic.

Estas páginas pueden incluir:
- Sección de bienvenida
- Historia de los protagonistas
- Detalles del evento
- Confirmación de asistencia (RSVP)
- Mapa interactivo
- Galería de fotos
- Mesa de regalos y más

Ventajas del servicio:
- 100% personalizadas
- Accesibles desde cualquier dispositivo
- Fáciles de compartir por WhatsApp, redes sociales o email
- Sin complicaciones técnicas: yo me encargo de todo
- Entrega rápida y soporte en todo momento";437;747;fixed;entre 50 y 100 usd;cancelled;FALSO;2025-7-3, 11:37
3155502;12201912;12204966;BR;new;desenvolvimento-de-mvp-para-plataforma-de-experiencias-locais-glide-softr-ou-no-code;Desenvolvimento de Mvp para Plataforma de Experiências Locais (Glide, Softr ou No-code);"Estamos desenvolvendo um MVP funcional de uma plataforma digital que conecta pessoas a experiências locais em cidades turísticas, com foco em bem-estar, esporte e cultura.

A primeira versão será feita com ferramentas no-code (preferencialmente Glide ou Softr), com estrutura simples para testes reais com usuários. Já temos a identidade do produto, o roadmap validado e documentação funcional.";67;228;fixed;entre 500 y 1000 usd;open;FALSO;2025-7-3, 11:41
